epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.492166668176651,1.3272992372512817,0.001,0.6100000143051147,1.023228645324707
1,0.6093833446502686,1.0183525085449219,0.001,0.628600001335144,0.9727861285209656
2,0.6372166872024536,0.9464969038963318,0.001,0.6492000222206116,0.9176837801933289
3,0.6520833373069763,0.9146084189414978,0.001,0.656000018119812,0.89132159948349
4,0.6606500148773193,0.8849180340766907,0.001,0.6570000052452087,0.9200164079666138
5,0.6646999716758728,0.8712474703788757,0.001,0.669700026512146,0.853966474533081
6,0.6732500195503235,0.8528332114219666,0.001,0.6653000116348267,0.888666033744812
7,0.6765333414077759,0.8444588780403137,0.001,0.6890000104904175,0.8171254396438599
8,0.6830333471298218,0.8266838788986206,0.001,0.6801999807357788,0.8391258716583252
9,0.6887999773025513,0.8150801062583923,0.001,0.6654999852180481,0.8628602623939514
10,0.6883999705314636,0.8133687973022461,0.001,0.6862000226974487,0.8161860108375549
11,0.6950666904449463,0.797111451625824,0.001,0.6973000168800354,0.8035872578620911
12,0.6969500184059143,0.7954718470573425,0.001,0.6948000192642212,0.8031125664710999
13,0.7001000046730042,0.7861911654472351,0.001,0.6858999729156494,0.8165276050567627
14,0.7037833333015442,0.7800921201705933,0.001,0.7053999900817871,0.7801227569580078
15,0.7052833437919617,0.7755554914474487,0.001,0.6974999904632568,0.7993655204772949
16,0.7071999907493591,0.7691468000411987,0.001,0.6905999779701233,0.8031553030014038
17,0.7058666944503784,0.7668176293373108,0.001,0.6869999766349792,0.8245686292648315
18,0.7091000080108643,0.7619867324829102,0.001,0.7150999903678894,0.7630772590637207
19,0.7123000025749207,0.7552271485328674,0.001,0.7031999826431274,0.7812120914459229
20,0.7131833434104919,0.7514482140541077,0.001,0.7095000147819519,0.7590285539627075
21,0.7147499918937683,0.7440347075462341,0.001,0.7096999883651733,0.7624434232711792
22,0.7159666419029236,0.7398144602775574,0.001,0.7196000218391418,0.7539209723472595
23,0.7174500226974487,0.7376126050949097,0.001,0.7196000218391418,0.7412095069885254
24,0.7188000082969666,0.7339929938316345,0.001,0.7073000073432922,0.7707398533821106
25,0.7189666628837585,0.7308306694030762,0.001,0.7127000093460083,0.7525538802146912
26,0.7224500179290771,0.7290205955505371,0.001,0.7196000218391418,0.7435429096221924
27,0.7208499908447266,0.7268455028533936,0.001,0.7261999845504761,0.7292785048484802
28,0.7222166657447815,0.7234524488449097,0.001,0.7208999991416931,0.7298049926757812
29,0.7246000170707703,0.7178000807762146,0.001,0.7245000004768372,0.723386824131012
30,0.7260666489601135,0.7176423668861389,0.001,0.7285000085830688,0.7110101580619812
31,0.7278500199317932,0.7138437032699585,0.001,0.7246999740600586,0.7229037880897522
32,0.7283166646957397,0.711906909942627,0.001,0.723800003528595,0.7386673092842102
33,0.7295666933059692,0.7072659134864807,0.001,0.7200999855995178,0.7264090776443481
34,0.7298666834831238,0.7062011957168579,0.001,0.7275999784469604,0.7246229648590088
35,0.7287166714668274,0.7058923244476318,0.001,0.7250000238418579,0.7188151478767395
36,0.7294333577156067,0.702528715133667,0.001,0.7232000231742859,0.7276974320411682
